1;ApexEComm;Application et tutoriel Oracle Apex pour un site d'e-commerce;null;null
2;Archeologie;Groupe de recherche Chasséen Méridional;null;null
3;Architekt;Architekt;null;null
4;BDM NoSQL;Développement d’un logiciel de conception d’une base de données multidimensionnelles;null;null
5;Carsat;Questionnaire client sur page web et traitement des données;null;null
6;E-ICGD;Environnement d'intégration continue de génération de documentation;null;null
7;GESDEP;Finalisation et déploiement de l'application de gestion des déplacements des personnels;null;null
8;PrestaShop;Application et tutoriel sur Prestashop (logiciel e-commerce gratuit );null;null
9;Prodif;Refactoring de l'application Java PRODIF;null;null
10;ReconfMI;Développement interface graphique;null;null
11;Refactor;Refactoring de site web statique en site web dynamique;null;null
12;RegExp;Application pédagogique d'apprentissage des expressions régulières par l'expérience;null;null
13;SimulMI;Développement de simulateur;null;null
14;SoftVolley;SoftVolley : explication de stratégies de jeu au Volley-ball;null;null
15;SWAML;Site web association "Marie Louise";null;null
